epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2982,1.22122,1.96781,1.95477,1.17401,0.71912,0.66596,0.6771,0.40535,0.73967,0.65693,0.68887,0.4096,1.27148,2.19588,1.46104,1.09244,0.000664251,0.000664251,0.000664251
2,27.504,1.32129,1.97762,1.4746,1.24199,0.73358,0.65029,0.70408,0.43994,0.7485,0.6474,0.71333,0.44705,1.24616,1.83543,1.23222,1.10356,0.00131774,0.00131774,0.00131774
3,40.6651,1.36084,2.02111,1.36903,1.2668,0.7997,0.66926,0.73776,0.45452,0.79838,0.66763,0.73709,0.43953,1.27485,2.14643,1.14019,1.11987,0.00195803,0.00195803,0.00195803
4,53.8066,1.31648,1.93557,1.2502,1.23531,0.8273,0.75434,0.80567,0.48947,0.82953,0.75723,0.80906,0.49416,1.32395,1.85033,0.93624,1.11961,0.0019406,0.0019406,0.0019406
5,67.1382,1.28716,1.88427,1.18835,1.22102,0.75532,0.71387,0.75199,0.49043,0.76919,0.72254,0.78032,0.47806,1.19069,1.93857,0.96172,1.05898,0.0019208,0.0019208,0.0019208
6,80.5065,1.24387,1.845,1.13422,1.19781,0.77164,0.75198,0.77564,0.48961,0.77757,0.75776,0.77834,0.48102,1.21036,1.89378,1.00063,1.07202,0.001901,0.001901,0.001901
7,93.9497,1.25073,1.81991,1.1065,1.1956,0.81232,0.76305,0.79141,0.51568,0.8214,0.75723,0.79755,0.49293,1.18375,1.84213,0.88501,1.06574,0.0018812,0.0018812,0.0018812
8,107.499,1.19492,1.76916,1.05628,1.17562,0.76198,0.77457,0.79584,0.52909,0.77199,0.77168,0.79983,0.52362,1.11872,1.66844,0.88154,1.03967,0.0018614,0.0018614,0.0018614
9,120.984,1.18668,1.74812,1.03504,1.17756,0.77021,0.76301,0.79893,0.53077,0.76503,0.77162,0.80178,0.52914,1.1395,1.64607,0.83855,1.0274,0.0018416,0.0018416,0.0018416
10,134.486,1.17888,1.73003,1.001,1.1593,0.80715,0.78627,0.83157,0.53863,0.81116,0.78324,0.83145,0.53637,1.11655,1.61595,0.82698,1.02834,0.0018218,0.0018218,0.0018218
11,147.751,1.13964,1.66611,0.94896,1.14444,0.82508,0.81797,0.83472,0.56381,0.8244,0.81411,0.83394,0.55787,1.09448,1.63342,0.7762,1.02036,0.001802,0.001802,0.001802
12,160.875,1.15141,1.69361,0.97142,1.13742,0.8198,0.7948,0.8189,0.53834,0.86048,0.7341,0.80883,0.50678,1.12176,1.83703,0.85165,1.02925,0.0017822,0.0017822,0.0017822
13,174.376,1.12605,1.66174,0.92602,1.1311,0.83195,0.78694,0.83269,0.54852,0.83279,0.78613,0.82723,0.5292,1.10591,1.79573,0.7859,1.02226,0.0017624,0.0017624,0.0017624
